id,latitude,longitude,int_backrest
4956877323,43.4133343,1.1174164,0
5120162421,43.4926547,1.1464517,0
5131735022,43.47466,1.180809,0
6554695634,43.495396,1.153182,0
6554695641,43.4611147,1.1430381,0
6955817188,43.4446012,1.1812448,0
9037281911,43.4973393,1.1992008,0
9649197894,43.4508915,1.1922937,0
9887397183,43.4923873,1.1445576,0
10554312845,43.4128178,1.1245453,0
12736120779,43.4166214,1.171677,0
4956860530,43.423717,1.213247,0
4956882321,43.4299078,1.2229428,0
6830843511,43.465957,1.216124,0
6875117882,43.4773774,1.2593924,0
7531985948,43.4018655,1.2585144,0
7531985949,43.4018188,1.2582728,0
7923003708,43.4663468,1.2505776,0
7923003710,43.4626394,1.2473227,0
8830001585,43.4300411,1.2100896,0
8883304430,43.402706,1.292842,0
8996051345,43.4889121,1.2465066,0
8996051356,43.492608,1.2457004,0
8998256288,43.455367,1.2418214,0
9902502732,43.4607305,1.2504422,0
9902502733,43.4608356,1.2504774,0
12736120776,43.4347515,1.224468,0
12768677179,43.4841395,1.2431724,0
12809401021,43.432171,1.2316687,0
1718466372,43.469037,1.3239679,0
1718466402,43.4687709,1.3237552,0
1718466681,43.4679131,1.3284199,0
1718584984,43.4973227,1.3150782,0
2915914913,43.4045068,1.3694312,0
2915914923,43.4371458,1.378513,0
2915914966,43.4207384,1.3749769,0
2915914967,43.4208124,1.3747475,0
2915914968,43.4539991,1.3944169,0
2915914970,43.4568108,1.3958559,0
2915914971,43.4612027,1.3971991,0
4956860531,43.465717,1.3241298,0
5140870925,43.445509,1.399335,0
5140893722,43.412977,1.388603,0
5140893826,43.4131059,1.388483,0
5140893932,43.408998,1.391663,0
5140893939,43.404033,1.394496,0
5143486422,43.4683955,1.3979527,0
5143494724,43.4764219,1.3981428,0
5143494732,43.4571768,1.395813,0
5189307002,43.4645502,1.3159853,0
5219362143,43.4459894,1.3168738,0
5219362144,43.4459959,1.3170643,0
5219362234,43.4518244,1.3205091,0
5219362235,43.4518432,1.3206799,0
5308049400,43.4659662,1.3238223,0
6581219475,43.4606619,1.3248907,0
6581219477,43.4492021,1.3362988,0
6581219481,43.4438398,1.3389051,0
6581219483,43.4347832,1.3446334,0
6581229089,43.4308133,1.3495587,0
6581229102,43.4243713,1.3604958,0
6581229107,43.4208315,1.3735045,0
6830843501,43.466804,1.311131,0
6924312164,43.454829,1.331156,0
7570023566,43.4715751,1.3240254,0
7571551596,43.4662132,1.3008651,0
7571551601,43.4669655,1.3182789,0
7772236654,43.411769,1.3092882,0
7772236655,43.4209545,1.31683,0
7921063121,43.4723969,1.3801717,0
7921063124,43.4781658,1.3826254,0
7921063154,43.4722948,1.3800031,0
7921077842,43.468595,1.336314,0
7921077848,43.4664325,1.3373932,0
7923003488,43.4484162,1.3953865,0
8913311927,43.4821237,1.3060178,0
9024616697,43.420762,1.3167201,0
11833938446,43.4692057,1.3788143,0
13150257329,43.4904366,1.3421281,0
13150257330,43.4907869,1.3428044,0
13150257353,43.4793449,1.3351017,0
13150257358,43.4783725,1.3349628,0
13155782089,43.4684248,1.3232685,0
13155782096,43.47186,1.3306975,0
13155782097,43.4721987,1.3311321,0
176195284,,,0
413929802,,,0
1356187583,43.4813669,1.4332162,0
1400170494,43.4377986,1.4261827,0
1690522273,43.4719656,1.4343327,0
1718477159,43.4883695,1.4967853,0
