id,latitude,longitude,int_backrest
8906441573,43.4961068,1.1542538,0
8906441575,43.4958794,1.1538528,0
9649244547,43.4606258,1.1450026,0
10139387369,43.4924244,1.1460543,0
12145968885,43.4989307,1.1266093,0
13111116618,43.4163667,1.1738155,0
13111117612,43.4163443,1.1737256,0
13111124055,43.4163879,1.1739149,0
8998002074,43.4830751,1.2442648,0
8998002075,43.4831577,1.2442891,0
8998002076,43.4831931,1.2444462,0
8998002099,43.4833336,1.244805,0
8998002100,43.483453,1.2447318,0
8998008977,43.4815615,1.2428301,0
8998008997,43.4811251,1.2425423,0
8998008998,43.4811575,1.2425469,0
8998009088,43.4822344,1.2435288,0
9902502732,43.4607305,1.2504422,0
9902502733,43.4608356,1.2504774,0
11917512250,43.4598487,1.2453426,0
11917514505,43.4598699,1.2451915,0
942400682,43.4619142,1.3278661,1
3660614040,43.4655971,1.3249092,1
5143494731,43.4567677,1.395839,1
5420776173,43.4705767,1.3306788,0
7770368086,43.4115636,1.3092198,1
7770368088,43.4117762,1.3102898,1
7770368089,43.4116964,1.3103583,1
7770386085,43.4117923,1.3092958,1
7770386186,43.4117196,1.3105243,1
7849357585,43.4563146,1.329513,1
7969028745,43.4594633,1.3260335,1
7969028746,43.4594283,1.3259752,1
7969028752,43.4593562,1.3261606,1
7969028753,43.4593378,1.326127,1
7969028755,43.4596284,1.3259795,1
7969028757,43.4597608,1.3258401,0
7969028759,43.4598893,1.3256791,0
7969028760,43.4600188,1.3255289,0
7969028762,43.4601482,1.325376,0
7969028764,43.459496,1.3261418,1
7969028767,43.4599365,1.325248,0
7969028769,43.4597472,1.3254672,0
7969028770,43.4595535,1.3257046,1
7969028773,43.4594191,1.3258555,1
7969028775,43.4592839,1.3260184,1
7970192835,43.4595475,1.3259782,0
7970192836,43.4595855,1.3259346,0
7970192837,43.4596186,1.3258977,0
7970192839,43.459678,1.3258266,1
7970192840,43.4597198,1.3257757,1
7970192842,43.4597685,1.325718,0
7970192843,43.4596848,1.325651,1
7970192844,43.4596193,1.3257368,1
7970192845,43.4595577,1.3257985,1
7970192846,43.4594979,1.3258729,1
7974704669,43.4605408,1.3246635,1
7974704670,43.4606031,1.3247612,1
8090812117,43.413417,1.3088807,1
8090812118,43.4135332,1.3091244,1
8090812120,43.413111,1.3086347,1
8090812217,43.4133526,1.3088616,1
8090812219,43.4138414,1.3090026,1
8090813317,43.4137081,1.3088669,1
8090813318,43.4131845,1.3089887,1
8187010023,43.4705125,1.3309,0
8187010027,43.4701383,1.3306969,0
8187010108,43.4703366,1.3308286,0
